Variable, Middle quantile Coefficient, Middle quantile Prob., Upper quantile Coefficient, Upper quantile Prob., Lower quantile Coefficient, Lower quantile Prob.
GPRDACT(-1),-0.024,0.000,-0.001,0.006,-0.003,0.000
GPRDACT(-1).DCOVID,0.062,0.000,0.007,0.000,0.007,0.000
USEPU(-1),0.011,0.000,0.001,0.004,0.001,0.018
VIX(-1),0.233,0.000,0.017,0.005,0.032,0.000
SP500(-1),32.246,0.005,0.716,0.604,6.999,0.000
TERM SPREAD(-1),-0.674,0.831,0.538,0.207,-0.473,0.287
TED SPREAD(-1),-0.080,0.000,-0.006,0.000,-0.003,0.082
DEFAULT SPREAD(-1),19.778,0.000,1.393,0.000,0.698,0.000
ADS BUS CONDITION INDEX(-1),0.770,0.000,0.077,0.000,0.071,0.000
US INFLATION(-1),3.485,0.000,0.205,0.006,-0.423,0.000
C,37.967,0.000,90.968,0.000,92.644,0.000
Adjusted R-squared,0.610,,0.373,,0.383,
F-statistic,412.369,,157.586,,164.259,
Prob.(F-statistic),0.000,,0.000,,0.000,
